id,job_id,certification_id,default_weightage,date_created,date_updated
81,14,43707,5,2017-05-31 23:09:22.86365+00,2017-05-31 23:09:22.863675+00
90,15,43707,5,2017-05-31 23:23:35.717466+00,2017-05-31 23:23:35.717493+00
43,8,1255,5,2017-05-18 20:05:00.450099+00,2017-05-18 20:05:00.450136+00
45,12,1255,5,2017-05-25 00:37:23.624791+00,2017-05-25 00:37:23.624817+00
46,12,35508,5,2017-05-25 00:37:23.628981+00,2017-05-25 00:37:23.629007+00
74,6,1255,5,2017-05-31 22:35:30.997293+00,2017-05-31 22:35:30.997325+00
76,9,1255,5,2017-05-31 22:48:55.182602+00,2017-05-31 22:48:55.182635+00
70,13,15107,5,2017-05-30 23:18:09.787637+00,2017-05-30 23:18:09.787668+00
83,14,21686,5,2017-05-31 23:09:22.87246+00,2017-05-31 23:09:22.872486+00
100,17,16533,5,2017-06-19 15:53:45.826313+00,2017-06-19 15:53:45.826344+00
101,19,16533,5,2017-06-19 17:27:27.324825+00,2017-06-19 17:27:27.324855+00
102,20,16533,5,2017-06-19 17:34:14.345724+00,2017-06-19 17:34:14.345755+00
108,2,15107,5,2017-06-21 23:24:51.359445+00,2017-06-21 23:24:51.359476+00
52,11,28042,5,2017-05-30 22:24:35.084526+00,2017-05-30 22:24:35.084558+00
57,11,22706,5,2017-05-30 22:39:19.629355+00,2017-05-30 22:39:19.629377+00
58,2,22706,5,2017-05-30 22:44:23.17611+00,2017-05-30 22:44:23.176153+00
9,5,50401,3,2017-04-06 19:21:53.974472+00,2017-04-06 19:21:53.974499+00
97,16,50401,3,2017-06-01 17:06:41.237312+00,2017-06-01 17:06:41.237334+00
40,10,77939,5,2017-04-25 22:41:08.167203+00,2017-04-25 22:41:08.16723+00
64,12,113836,5,2017-05-30 22:55:59.927163+00,2017-05-30 22:55:59.927187+00
112,2,113836,5,2017-06-21 23:37:19.3649+00,2017-06-21 23:37:19.364921+00
72,13,113837,5,2017-05-30 23:20:03.097129+00,2017-05-30 23:20:03.097163+00
92,15,113917,5,2017-05-31 23:44:59.901487+00,2017-05-31 23:44:59.901519+00
110,2,113837,5,2017-06-21 23:37:19.346675+00,2017-06-21 23:37:19.3467+00
103,7,2651,5,2017-06-21 22:41:46.01553+00,2017-06-21 22:41:46.015561+00
61,12,22706,5,2017-05-30 22:52:57.374119+00,2017-05-30 22:52:57.374149+00
65,13,22706,5,2017-05-30 23:10:00.864659+00,2017-05-30 23:10:00.86469+00
84,14,22706,5,2017-05-31 23:09:22.876639+00,2017-05-31 23:09:22.876661+00
89,15,22706,5,2017-05-31 23:23:35.713012+00,2017-05-31 23:23:35.713034+00
109,2,21686,5,2017-06-21 23:37:19.324771+00,2017-06-21 23:37:19.324801+00
111,2,28042,5,2017-06-21 23:37:19.360626+00,2017-06-21 23:37:19.360648+00
114,14,69559,5,2017-06-22 00:09:40.414624+00,2017-06-22 00:09:40.414655+00
121,22,728,3,2017-08-12 13:34:31.722434+00,2017-08-12 13:34:31.722515+00
120,19,36932,3,2017-07-06 01:10:09.072076+00,2017-07-06 01:10:09.07211+00
119,17,36932,1,2017-07-06 01:06:25.391638+00,2017-07-06 01:06:25.391668+00
115,19,124679,5,2017-07-05 17:33:08.675911+00,2017-07-05 17:33:08.675947+00
118,17,124679,5,2017-07-06 00:47:46.98765+00,2017-07-06 00:47:46.987678+00
125,22,69216,5,2017-08-12 13:34:31.746273+00,2017-08-12 13:34:31.746297+00
126,5,69216,5,2017-08-12 13:41:45.432437+00,2017-08-12 13:41:45.432469+00
127,16,69216,5,2017-08-12 13:53:05.599075+00,2017-08-12 13:53:05.599106+00
144,2,130853,5,2017-09-11 12:47:09.443693+00,2017-09-11 12:47:09.443725+00
145,13,130853,5,2017-09-11 12:51:06.832886+00,2017-09-11 12:51:06.832917+00
188,21,1255,5,2017-10-06 15:17:36.298631+00,2017-10-06 15:17:36.298654+00
193,21,138095,5,2017-10-07 23:34:41.17252+00,2017-10-07 23:34:41.172552+00
122,22,636,4,2017-08-12 13:34:31.731386+00,2017-08-12 13:34:31.73141+00
186,21,4215,4,2017-10-06 15:17:36.2896+00,2017-10-06 15:17:36.289623+00
187,21,636,4,2017-10-06 15:17:36.294263+00,2017-10-06 15:17:36.294286+00
190,8,4215,4,2017-10-06 15:24:35.017031+00,2017-10-06 15:24:35.017063+00
191,6,4215,4,2017-10-06 15:30:21.506429+00,2017-10-06 15:30:21.506462+00
194,23,636,4,2017-10-08 00:47:04.619496+00,2017-10-08 00:47:04.619527+00
123,22,1739,3,2017-08-12 13:34:31.735907+00,2017-08-12 13:34:31.735931+00
185,21,728,3,2017-10-06 15:17:36.272541+00,2017-10-06 15:17:36.272573+00
189,21,1739,3,2017-10-06 15:17:36.302649+00,2017-10-06 15:17:36.302672+00
